learning_rate,r2_score,rmse,final_loss,final_val_loss,epochs_trained,min_val_loss,Product 1_r2,Product 1_rmse,Product 2_r2,Product 2_rmse,Product 3_r2,Product 3_rmse,Product 4_r2,Product 4_rmse,Product 5_r2,Product 5_rmse,Product 6_r2,Product 6_rmse
9.999999999999999e-06,0.7649392794743839,63.36958959088522,3.0072152614593506,2.6454522609710693,50,2.6454522609710693,-0.3958965887724062,50.27343636496494,0.6969215063822483,70.35756918288655,0.4109202692946998,58.703523099194136,-1.3425719762117518,40.650355802335596,0.014709544089065107,88.10491594629208,-1.1970094942229057,45.83483431859267
1.2689610031679234e-05,0.7544036136491463,64.77416886336309,3.0029470920562744,2.5985591411590576,50,2.5985591411590576,-0.33121339512006953,49.09483313896221,0.6285489516426117,77.89042268076413,0.40647640422946185,58.924529173567386,-1.0479223459969664,38.00796538157694,0.022903830450595852,87.73778347199382,-2.5148926374446177,57.97432902737223
1.610262027560939e-05,0.7608901552325469,63.91305715736298,2.6864609718322754,2.417912721633911,50,2.417912721633911,-0.4438617716130211,51.12987815623084,0.7376318863194891,65.46192811115819,0.37691801459090657,60.37396852473012,-2.756711660516081,51.47801722390504,0.06310009965502528,85.9141305874418,-2.10649836268322,54.502354413324866
2.0433597178569438e-05,0.7832948892910475,60.845076263232464,2.445028066635132,2.1811110973358154,50,2.1811110973358154,-0.13430034017727688,45.31854730076275,0.723579004647193,67.19218741792328,0.5074821963288011,53.67698249104569,-2.041167536813439,46.316747291851456,0.10982590733257303,83.74434275839006,-2.1208390089838702,54.62801020657386
2.592943797404667e-05,0.7885070862864976,60.10889899860848,1.9357404708862305,1.766738772392273,50,1.766738772392273,-0.2612301279370697,47.786928487611185,0.7678364088042922,61.578672590413106,0.49345934347165155,54.43575877903891,-2.144651423379671,47.098181114522255,0.13610317607383426,82.4990489225592,-2.7961318225239573,60.24906916266824
3.290344562312671e-05,0.7829023073329515,60.900164651874974,1.7610347270965576,1.6078370809555054,50,1.6078370809555054,-0.2954075959583484,48.43007799643005,0.7906426341263315,58.47596386820376,0.46107863385150727,56.14871576014099,-2.7139459942616657,51.184170748838575,0.100791933738274,84.16821175762821,-2.281617181055571,56.017491557096875
4.1753189365604006e-05,0.8159959951517785,56.06663619349771,1.281230092048645,1.1537798643112183,50,1.1537798643112183,0.07709287998600878,40.87812309056004,0.7889426535473268,58.7128961097948,0.5838663818867811,49.33936180794058,-1.2494033872283095,39.833782876567014,0.14624381144034548,82.01342245718669,-1.1464959021001881,45.304853545620205
5.2983169062837125e-05,0.8274805484529641,54.28875690155199,0.8234414458274841,0.7191339731216431,50,0.7191339731216431,0.1254109316649118,39.793667897380736,0.8107433960440794,55.59795117164055,0.6061565387791088,47.99974677169883,-0.8492840082373314,36.11766674450541,0.15680321880033454,81.50466621753019,-0.6210196536858132,39.37076370057722
6.723357536499335e-05,0.8363224353550918,52.87926867740927,0.5561460852622986,0.4670024514198303,50,0.4670024514198303,0.20447609326357852,37.95234074104235,0.81370811823267,55.16075872706196,0.6590563799448708,44.65996830284417,-0.8220800788369187,35.85102768202272,0.18769737416575272,79.99759517614598,-0.5274623674848649,38.21773621935562
8.531678524172815e-05,0.8461557326373109,51.26624656143722,0.43831905722618103,0.35912254452705383,50,0.35912254452705383,0.33154950416693174,34.7893707618375,0.8220132749060091,53.91716796293544,0.6718405513424559,43.81467384253779,-0.21369095724999032,29.259839363318786,0.17917659840616462,80.41607427248648,-0.06383803592027038,31.894621736577644
0.00010826367338740541,0.8446909943095122,51.50971922405043,0.2840966582298279,0.2390298843383789,50,0.23700927197933197,0.3353396953551747,34.69060068675384,0.7954445545551969,57.80145742873388,0.7254889160941678,40.07348095535231,-0.0641419042894198,27.397923714844218,0.15796315114867698,81.44858652384912,0.2931030031807811,25.99906724414695
0.00013738237958832637,0.8275900169043247,54.27153029572422,0.2444322407245636,0.20800429582595825,50,0.20800429582595825,0.3530518928481824,34.22525338409326,0.764107725318238,62.07119771202168,0.7172576693823182,40.66984743373133,-0.2116012859403027,29.234639460667264,0.05083373415464798,86.47471722390253,0.10453314308127148,29.26203039919122
0.00017433288221999874,0.8255506318745873,54.591567350516,0.21879467368125916,0.19908174872398376,50,0.194406196475029,0.3261524588788711,34.92953248026562,0.7417832300975519,64.94197444643784,0.7271171190566109,39.95446062617563,0.00922214828687351,26.436625825362697,0.05162092840486565,86.43885073637951,0.2180789080557214,27.343944447775275
0.000221221629107045,0.8363237690618002,52.87905323682892,0.19967879354953766,0.1855051964521408,50,0.17113251984119415,0.3129109457962411,35.27105611047037,0.7855911431735767,59.17722923953525,0.7151233929656617,40.82305673199652,-0.027092340745479282,26.91675024024824,0.09536521267065812,84.42180731795501,0.25526840307914533,26.685760811185222
0.0002807216203941176,0.8398992870751071,52.29829083005583,0.2169598639011383,0.18715950846672058,50,0.17357848584651947,0.3365018875358333,34.66025828165917,0.8047229702978396,56.47533901992702,0.7096420676517051,41.213924769722716,0.07171419732558271,25.589319311601784,0.08551023501162724,84.88040201132056,0.24392629875640937,26.888202178607195
0.0003562247890262444,0.8336235016700471,53.31345802801948,0.21629248559474945,0.21794797480106354,50,0.17516371607780457,0.24494600119907384,36.97438463735477,0.7530535000505579,63.50891657052657,0.7133550695089654,40.949561838203046,0.05869715782878304,25.76810992116562,0.14217261645220192,82.20873321316698,0.24479616150066486,26.872730289793225
0.00045203536563602405,0.8372254091113651,52.73320519913713,0.22595998644828796,0.20622995495796204,50,0.17643459141254425,0.33036625928889884,34.82014801801115,0.7986959415941625,57.340243342636775,0.6884512653855075,42.69137298936996,-0.21136921789490692,29.23183955007924,0.11264661456289515,83.61155654321358,0.12696623809273888,28.89317170511635
0.0005736152510448681,0.8382575670604262,52.565747995879406,0.24088333547115326,0.211429625749588,50,0.1782907396554947,0.18741228959342238,38.357215604579835,0.7869889044932695,58.98402152136954,0.6827662466303833,43.079119813463585,0.03803039984921408,26.049449709664145,0.16345679931762114,81.18245678937008,0.10875628257963155,29.192947058968276
0.0007278953843983146,0.8422054913467252,51.92025366777075,0.24628764390945435,0.21293456852436066,50,0.1837928146123886,0.3351096193904849,34.696604342135586,0.7959428706198565,57.73100963872139,0.711548092199706,41.0784297744618,-0.14134728992074042,28.374406442590512,0.1514689045142481,81.76207116617935,-0.004220965598311643,30.98805663486056
0.0009236708571873865,0.8382461216738392,52.56760781909681,0.2690180540084839,0.20214149355888367,50,0.1925840526819229,0.21675684741038592,37.65826022971986,0.7896461987275111,58.61495671815517,0.6767579783177256,43.485156122239424,-0.1673870033955005,28.696260517555707,0.17673081970152138,80.53579163762757,-0.061116528863956576,31.853799252283313
0.0011721022975334804,0.8357713947466171,52.96820615933643,0.2845129370689392,0.20336107909679413,50,0.20025859773159027,0.25481108504550853,36.73204788296177,0.7887458787656516,58.74025958686338,0.6495553835046396,45.27795701591598,0.16790064376323,24.227325401211477,0.12868128758385156,82.85267290420452,0.1686724155553211,28.194590714282153
0.0014873521072935117,0.8312267201092587,53.696095614205,0.2971976697444916,0.2281607985496521,50,0.2165513038635254,0.28464141299036083,35.9893370052534,0.7549521099120715,63.26430627410343,0.6686603501136036,44.02646649474362,0.19953381566709505,23.76234923236209,0.12400685261074573,83.07461889488695,0.18366213488567662,27.939245232267837
0.0018873918221350976,0.8253542240816649,54.622290284934,0.2980770170688629,0.2567219138145447,50,0.22715653479099274,0.25909552488860077,36.626300798989845,0.7464990605646653,64.34622199294314,0.6644894337260678,44.30270332889653,0.11020459636911628,25.053185752931366,0.09443419358561989,84.46523816023225,0.10256986908534016,29.294090730922438
0.002395026619987486,0.81996370041017,55.45885538472859,0.32360902428627014,0.23875419795513153,50,0.22712811827659607,0.15106538878985187,39.205687047773104,0.7341955422820747,65.88922455871541,0.6702554765661313,43.9203631238027,-0.2522426060110359,29.720911015787856,0.11458397289021094,83.52023212816914,0.000838736527705275,30.90989239860177
0.0030391953823131978,0.8263737097733982,54.4626295426614,0.3454047441482544,0.24614828824996948,50,0.24091510474681854,0.31117574455783215,35.31556547055285,0.7827038376013082,59.574347536095466,0.5738800256630481,49.92787388349164,-0.17364318175524085,28.77305126312721,0.11045901706906658,83.71455713012021,0.16307134433377668,28.28941182301025
0.0038566204211634724,0.8219098845618849,55.15828705195792,0.374259352684021,0.24800649285316467,50,0.24800649285316467,0.11839690813520265,39.95291774239308,0.7300193160621501,66.40482140202224,0.6715376760821734,43.83488858910572,0.14749025414480077,24.522658807619173,0.11509952408709878,83.4959129244674,0.03611610456411207,30.359321482866005
0.004893900918477494,0.802342882171756,58.10949377874236,0.42243900895118713,0.293123334646225,50,0.27446669340133667,0.13038975308182088,39.68023843163942,0.7046941119541927,69.44953137129363,0.6271325972340658,46.70402770622215,0.11214381615660118,25.025870409973724,-0.01531397664607237,89.43719818513948,-0.06181807713865073,31.86432744824081
0.006210169418915616,0.8033680216975742,57.95860677753336,0.3950694501399994,0.373121052980423,50,0.29706212878227234,0.061815099048769806,41.215082015827356,0.7436188440986513,64.7107326656366,0.5148036773537892,53.27652338919531,-0.7433051150562096,35.067481910908775,0.1094020429655932,83.76427819498949,-1.1677731735216006,45.52884339680379
0.007880462815669913,0.7902778677284577,59.856731071510666,0.46338480710983276,0.36345556378364563,50,0.3266979455947876,0.09045564867196698,40.581106952067564,0.6706015837985664,73.34897001183077,0.49871132739521506,54.15281933583419,-0.78566602092357,35.49098042395771,0.11673735003975427,83.41860755932237,-0.7177917995688181,40.52891352200669
0.01,0.7910797649180505,59.742186854760256,0.582876443862915,0.4610760509967804,50,0.3510151207447052,0.07832750953893275,40.850771351677494,0.6984367865565766,70.18146790794876,0.6115152807635025,47.67207952230459,-0.7655061920524231,35.29006854951812,-0.01047776996896399,89.22393751558452,-0.9810147545645032,43.52347410379596
